prac_answer,prac_dot_sti,dotlefttext,dotrighttext
LeftButton_2,11dot2.png,Greater,Smaller
LeftButton_2,11dot1.png,Greater,Smaller
RightButton_2,9dot1.png,Greater,Smaller
RightButton_2,9dot2.png,Greater,Smaller
LeftButton_2,11dot1.png,Greater,Smaller
RightButton_2,11dot2.png,Smaller,Greater
RightButton_2,11dot1.png,Smaller,Greater
LeftButton_2,9dot1.png,Smaller,Greater
LeftButton_2,9dot2.png,Smaller,Greater
RightButton_2,11dot1.png,Smaller,Greater
